timestamp,src_ip,dst_ip,protocol,fwd_packets,bwd_packets,prediction,confidence,is_attack,blocked,simulation,model,interface,actual_label,source
2026-06-07T17:54:52.496458,10.10.1.3,10.10.2.9,17,2,0,LDAP Flood,0.8454392552375793,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:53.421122,10.10.1.4,10.10.2.16,17,2,0,LDAP Flood,0.7736458778381348,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:54.240126,10.10.1.5,10.10.2.23,17,2,0,LDAP Flood,0.771576464176178,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:54.999145,10.10.1.6,10.10.2.30,17,2,0,LDAP Flood,0.9338131546974182,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:55.721698,10.10.1.7,10.10.2.37,17,2,0,LDAP Flood,0.7733073234558105,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:56.350691,10.10.1.8,10.10.2.44,17,2,0,LDAP Flood,0.8722220063209534,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:57.039391,10.10.1.9,10.10.2.51,17,2,0,LDAP Flood,0.7806599736213684,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:57.728610,10.10.1.10,10.10.2.58,17,2,0,LDAP Flood,0.9109541773796082,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:58.361340,10.10.1.11,10.10.2.65,17,2,0,LDAP Flood,0.7733073234558105,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:59.020567,10.10.1.12,10.10.2.72,17,2,0,LDAP Flood,0.8110330104827881,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:54:59.677113,10.10.1.13,10.10.2.79,17,2,0,LDAP Flood,0.7736458778381348,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:55:00.276600,10.10.1.14,10.10.2.86,17,2,0,LDAP Flood,0.7806599736213684,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:55:00.895687,10.10.1.15,10.10.2.93,17,2,0,MSSQL Flood,0.8755092024803162,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:55:01.476699,10.10.1.16,10.10.2.100,17,2,0,LDAP Flood,0.849624752998352,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:55:02.147682,10.10.1.17,10.10.2.107,17,2,0,LDAP Flood,0.771576464176178,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:55:02.801170,10.10.1.18,10.10.2.114,17,2,0,LDAP Flood,0.9338131546974182,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:55:03.484921,10.10.1.19,10.10.2.121,17,2,0,MSSQL Flood,0.721136212348938,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:55:04.172134,10.10.1.20,10.10.2.128,17,2,0,MSSQL Flood,0.9394606947898865,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:55:04.597786,10.10.1.21,10.10.2.135,17,2,0,LDAP Flood,0.7736458778381348,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
2026-06-07T17:55:05.198827,10.10.1.22,10.10.2.142,17,2,0,LDAP Flood,0.771576464176178,True,False,True,selected_model,offline_replay,DrDoS_DNS,CICDDoS2019 testing parquet
